event_id,event_type,profile_id,timestamp,value,product_name,product_id,categories,quantity,item_price,discount_code,discount_value,campaign_id,url
E001,placed_order,P001,2022-04-10T14:30:00Z,185.50,Premium Cookie Box,PROD001,"Cookies,Premium,Gifts",2,92.75,,,
E002,placed_order,P001,2022-06-22T10:00:00Z,220.00,Deluxe Cake Selection,PROD002,"Cakes,Premium",1,220.00,,,
E003,placed_order,P001,2022-09-15T16:45:00Z,156.00,Artisan Bread Bundle,PROD003,"Bread,Bundles",3,52.00,,,
E004,placed_order,P001,2022-12-20T11:30:00Z,340.00,Holiday Gift Hamper,PROD004,"Gifts,Seasonal,Premium",1,340.00,,,
E005,placed_order,P001,2023-03-08T09:00:00Z,198.50,Cookie Subscription Box,PROD005,"Cookies,Subscription",1,198.50,,,
E006,placed_order,P001,2023-06-14T14:00:00Z,275.00,Wedding Cake Tasting,PROD006,"Cakes,Premium,Events",1,275.00,,,
E007,placed_order,P001,2023-09-28T10:30:00Z,165.00,Autumn Treats Box,PROD007,"Cookies,Seasonal",2,82.50,,,
E008,placed_order,P001,2024-01-15T15:00:00Z,420.00,Corporate Gift Set,PROD008,"Gifts,Corporate,Premium",2,210.00,,,
E009,placed_order,P001,2024-05-20T11:00:00Z,195.00,Spring Collection,PROD009,"Cookies,Seasonal",1,195.00,,,
E010,placed_order,P001,2024-11-18T14:30:00Z,295.00,Premium Selection,PROD010,"Premium,Gifts",1,295.00,,,
E011,placed_order,P002,2022-06-15T10:00:00Z,145.00,Classic Cookie Tin,PROD011,"Cookies,Gifts",1,145.00,,,
E012,placed_order,P002,2022-09-20T14:30:00Z,189.00,Birthday Cake,PROD012,"Cakes,Celebration",1,189.00,,,
E013,placed_order,P002,2023-01-10T11:00:00Z,210.00,Valentine Bundle,PROD013,"Gifts,Seasonal",1,210.00,,,
E014,placed_order,P002,2023-05-25T09:30:00Z,175.00,Mother's Day Hamper,PROD014,"Gifts,Seasonal",1,175.00,,,
E015,placed_order,P002,2023-09-08T16:00:00Z,198.00,Cookie Lovers Pack,PROD015,"Cookies,Bundles",2,99.00,,,
E016,placed_order,P002,2024-02-14T10:00:00Z,265.00,Premium Chocolate Box,PROD016,"Chocolate,Premium",1,265.00,,,
E017,placed_order,P002,2024-06-30T14:00:00Z,188.00,Summer Treats,PROD017,"Cookies,Seasonal",1,188.00,,,
E018,placed_order,P002,2024-11-10T16:45:00Z,320.00,Holiday Pre-Order,PROD018,"Gifts,Seasonal,Premium",1,320.00,,,
E019,placed_order,P003,2022-02-05T09:30:00Z,290.00,Gourmet Selection,PROD019,"Premium,Gifts",1,290.00,,,
E020,placed_order,P003,2022-05-18T14:00:00Z,385.00,Corporate Order,PROD020,"Corporate,Bundles",5,77.00,,,
E021,placed_order,P003,2022-08-22T11:30:00Z,420.00,Event Catering Box,PROD021,"Events,Premium",1,420.00,,,
E022,placed_order,P003,2022-11-30T10:00:00Z,510.00,Christmas Hampers,PROD022,"Gifts,Seasonal,Premium",3,170.00,,,
E023,placed_order,P003,2023-03-15T15:00:00Z,345.00,Spring Celebration,PROD023,"Cakes,Seasonal",1,345.00,,,
E024,placed_order,P003,2023-07-20T09:00:00Z,280.00,Summer Party Pack,PROD024,"Bundles,Events",2,140.00,,,
E025,placed_order,P003,2023-11-25T14:30:00Z,490.00,Holiday Collection,PROD025,"Gifts,Seasonal,Premium",2,245.00,,,
E026,placed_order,P003,2024-04-10T11:00:00Z,320.00,Easter Specials,PROD026,"Seasonal,Gifts",2,160.00,,,
E027,placed_order,P003,2024-08-15T10:00:00Z,160.00,Cookie Sampler,PROD027,"Cookies,Bundles",1,160.00,,,
E028,placed_order,P003,2024-11-20T11:00:00Z,0.00,Pending Order,PROD028,"Premium",1,0.00,,,
E029,placed_order,P004,2022-09-10T10:00:00Z,125.00,Starter Cookie Box,PROD029,"Cookies",1,125.00,,,
E030,placed_order,P004,2022-12-15T14:30:00Z,185.00,Holiday Tin,PROD030,"Cookies,Seasonal,Gifts",1,185.00,,,
E031,placed_order,P004,2023-04-20T11:00:00Z,145.00,Spring Cookies,PROD031,"Cookies,Seasonal",1,145.00,,,
E032,placed_order,P004,2023-08-08T09:30:00Z,165.00,Summer Selection,PROD032,"Cookies,Seasonal",1,165.00,,,
E033,placed_order,P004,2024-01-25T15:00:00Z,195.00,New Year Bundle,PROD033,"Bundles,Seasonal",1,195.00,,,
E034,placed_order,P004,2024-06-12T10:00:00Z,210.00,Father's Day Gift,PROD034,"Gifts,Seasonal",1,210.00,,,
E035,placed_order,P004,2024-11-15T09:30:00Z,225.00,Pre-Holiday Order,PROD035,"Gifts,Seasonal",1,225.00,,,
E036,placed_order,P005,2022-12-08T11:00:00Z,175.00,Christmas Cookies,PROD036,"Cookies,Seasonal",1,175.00,,,
E037,placed_order,P005,2023-03-25T14:30:00Z,220.00,Easter Collection,PROD037,"Seasonal,Gifts",1,220.00,,,
E038,placed_order,P005,2023-07-15T10:00:00Z,195.00,Summer Treats Box,PROD038,"Cookies,Seasonal",1,195.00,,,
E039,placed_order,P005,2023-10-30T16:00:00Z,245.00,Halloween Special,PROD039,"Seasonal,Gifts",1,245.00,,,
E040,placed_order,P005,2024-02-10T09:30:00Z,265.00,Valentine Collection,PROD040,"Gifts,Seasonal,Premium",1,265.00,,,
E041,placed_order,P005,2024-05-28T11:00:00Z,185.00,Spring Favorites,PROD041,"Cookies,Seasonal",1,185.00,,,
E042,placed_order,P005,2024-09-18T14:00:00Z,210.00,Fall Collection,PROD042,"Seasonal,Cookies",1,210.00,,,
E043,placed_order,P005,2024-11-19T10:15:00Z,305.00,Holiday Preview,PROD043,"Premium,Seasonal,Gifts",1,305.00,,,
E044,placed_order,P006,2023-03-15T11:30:00Z,135.00,Classic Assortment,PROD044,"Cookies",1,135.00,,,
E045,placed_order,P006,2023-06-22T10:00:00Z,165.00,Summer Box,PROD045,"Cookies,Seasonal",1,165.00,,,
E046,placed_order,P006,2023-09-10T14:00:00Z,145.00,Fall Favorites,PROD046,"Cookies,Seasonal",1,145.00,,,
E047,placed_order,P006,2024-02-28T09:30:00Z,185.00,Winter Warmers,PROD047,"Cookies,Seasonal",1,185.00,,,
E048,placed_order,P006,2024-07-15T11:00:00Z,195.00,Mid-Year Special,PROD048,"Bundles",1,195.00,,,
E049,placed_order,P006,2024-11-08T15:00:00Z,225.00,November Treats,PROD049,"Cookies,Seasonal",1,225.00,,,
E050,placed_order,P007,2023-05-10T10:30:00Z,95.00,Cookie Sampler,PROD050,"Cookies",1,95.00,,,
E051,placed_order,P007,2023-08-20T14:00:00Z,125.00,Summer Bites,PROD051,"Cookies,Seasonal",1,125.00,,,
E052,placed_order,P007,2023-12-05T11:00:00Z,185.00,Holiday Gift Box,PROD052,"Gifts,Seasonal",1,185.00,,,
E053,placed_order,P007,2024-04-15T09:30:00Z,145.00,Spring Selection,PROD053,"Cookies,Seasonal",1,145.00,,,
E054,placed_order,P007,2024-08-28T16:00:00Z,155.00,Late Summer Box,PROD054,"Cookies,Seasonal",1,155.00,,,
E055,placed_order,P007,2024-11-17T12:45:00Z,165.00,Pre-Holiday Treats,PROD055,"Cookies,Seasonal",1,165.00,,,
E056,placed_order,P008,2023-02-14T10:00:00Z,285.00,Valentine Premium,PROD056,"Premium,Gifts,Seasonal",1,285.00,,,
E057,placed_order,P008,2023-05-08T14:30:00Z,245.00,Spring Luxury Box,PROD057,"Premium,Seasonal",1,245.00,,,
E058,placed_order,P008,2023-08-15T11:00:00Z,320.00,Summer Indulgence,PROD058,"Premium,Seasonal",1,320.00,,,
E059,placed_order,P008,2023-11-20T09:30:00Z,410.00,Thanksgiving Feast,PROD059,"Premium,Seasonal,Events",1,410.00,,,
E060,placed_order,P008,2024-02-28T15:00:00Z,295.00,Late Winter Treats,PROD060,"Premium,Seasonal",1,295.00,,,
E061,placed_order,P008,2024-06-10T10:00:00Z,265.00,Summer Premium,PROD061,"Premium,Seasonal",1,265.00,,,
E062,placed_order,P008,2024-09-22T14:00:00Z,385.00,Fall Luxury,PROD062,"Premium,Seasonal",1,385.00,,,
E063,placed_order,P008,2024-11-18T14:00:00Z,445.00,Holiday Premium,PROD063,"Premium,Seasonal,Gifts",1,445.00,,,
E064,placed_order,P009,2023-07-25T11:30:00Z,110.00,Summer Starter,PROD064,"Cookies,Seasonal",1,110.00,,,
